sim,period,price
0,0,1.00000
0,0,1.00697
0,1,1.00301
0,2,0.98030
0,3,0.99220
0,4,0.98390
0,5,0.98153
0,6,0.97742
0,7,0.97268
0,8,0.98614
0,9,0.98441
0,10,0.98058
0,11,0.98259
0,12,0.96974
0,13,0.97271
0,14,0.96393
0,15,0.96263
0,16,0.97136
0,17,0.96812
0,18,0.97020
0,19,0.96240
0,20,0.97549
0,21,0.98181
0,22,0.97334
0,23,0.98397
0,24,0.97920
0,25,0.98178
0,26,0.99585
0,27,1.00345
0,28,0.99772
0,29,1.02072
0,30,1.01190
0,31,1.01788
0,32,1.02211
0,33,1.03670
0,34,1.03815
0,35,1.02734
0,36,1.02299
0,37,1.01663
0,38,1.01054
0,39,0.99461
0,40,0.98875
0,41,0.98789
0,42,0.99480
0,43,0.99996
0,44,1.00524
0,45,1.02393
0,46,1.01647
0,47,1.03727
0,48,1.03593
0,49,1.04158
0,50,1.03612
0,51,1.04925
0,52,1.05161
0,53,1.04447
0,54,1.04942
0,55,1.06355
0,56,1.07036
0,57,1.06325
0,58,1.07163
0,59,1.06829
0,60,1.07295
0,61,1.06389
0,62,1.07248
0,63,1.07255
0,64,1.08238
0,65,1.07925
0,66,1.07166
0,67,1.05502
0,68,1.06029
0,69,1.05569
0,70,1.06565
0,71,1.06209
0,72,1.05042
0,73,1.04614
0,74,1.04508
0,75,1.04523
0,76,1.04499
0,77,1.04773
0,78,1.03106
0,79,1.03230
0,80,1.03471
0,81,1.04401
0,82,1.03098
0,83,1.01628
0,84,1.00940
0,85,1.00805
0,86,1.01797
0,87,1.00889
0,88,1.00857
0,89,1.00984
0,90,1.00518
0,91,1.00608
0,92,0.99625
0,93,0.99578
0,94,0.99055
0,95,0.99937
0,96,0.98216
0,97,0.98393
0,98,0.97359
0,99,0.97351
1,0,1.00000
1,0,1.00887
1,1,1.01279
1,2,1.01395
1,3,1.00729
1,4,1.01450
1,5,1.02566
1,6,1.01537
1,7,1.03651
1,8,1.02400
1,9,1.02278
1,10,1.02885
1,11,1.03499
1,12,1.02890
1,13,1.02540
1,14,1.03461
1,15,1.02943
1,16,1.03160
1,17,1.02210
1,18,1.01238
1,19,1.01204
1,20,1.01376
1,21,1.01806
1,22,1.02213
1,23,1.01478
1,24,1.01677
1,25,1.03430
1,26,1.03731
1,27,1.03488
1,28,1.02896
1,29,1.02729
1,30,1.01889
1,31,1.02207
1,32,1.02747
1,33,1.04013
1,34,1.03204
1,35,1.03462
1,36,1.02460
1,37,1.01679
1,38,1.03032
1,39,1.04093
1,40,1.05287
1,41,1.05418
1,42,1.06782
1,43,1.07542
1,44,1.07735
1,45,1.06604
1,46,1.04978
1,47,1.06060
1,48,1.06524
1,49,1.05874
1,50,1.05574
1,51,1.04944
1,52,1.05677
1,53,1.06127
1,54,1.07270
1,55,1.06783
1,56,1.06717
1,57,1.07876
1,58,1.06704
1,59,1.06674
1,60,1.05807
1,61,1.05378
1,62,1.05079
1,63,1.04362
1,64,1.04135
1,65,1.03704
1,66,1.04562
1,67,1.02936
1,68,1.02434
1,69,1.02363
1,70,1.01132
1,71,1.01983
1,72,1.01842
1,73,1.02862
1,74,1.03317
1,75,1.02092
1,76,1.01395
1,77,1.00177
1,78,1.00428
1,79,0.99181
1,80,0.98477
1,81,0.99597
1,82,0.99093
1,83,0.97790
1,84,0.96944
1,85,0.97593
1,86,0.97021
1,87,0.94842
1,88,0.94978
1,89,0.94779
1,90,0.94035
1,91,0.93817
1,92,0.94716
1,93,0.93831
1,94,0.96131
1,95,0.95853
1,96,0.97192
1,97,0.96494
1,98,0.96306
1,99,0.96249
2,0,1.00000
2,0,1.01372
2,1,1.01617
2,2,1.02057
2,3,1.02199
2,4,1.00578
2,5,1.00662
2,6,1.00566
2,7,0.99909
2,8,1.00032
2,9,1.00184
2,10,1.00670
2,11,0.98860
2,12,0.99391
2,13,0.99205
2,14,0.99054
2,15,0.97418
2,16,0.97113
2,17,0.97488
2,18,0.96948
2,19,0.97712
2,20,0.97975
2,21,0.97659
2,22,0.97859
2,23,0.98142
2,24,0.96863
2,25,0.96435
2,26,0.96318
2,27,0.95327
2,28,0.95910
2,29,0.94387
2,30,0.95281
2,31,0.95156
2,32,0.94203
2,33,0.94826
2,34,0.94989
2,35,0.94475
2,36,0.95393
2,37,0.94254
2,38,0.94333
2,39,0.94306
2,40,0.95500
2,41,0.96276
2,42,0.97526
2,43,0.97519
2,44,0.96697
2,45,0.98220
2,46,0.97911
2,47,0.99154
2,48,1.00674
2,49,1.00564
2,50,1.00331
2,51,0.98873
2,52,0.99530
2,53,1.01298
2,54,1.01245
2,55,0.99770
2,56,0.97501
2,57,0.97572
2,58,0.97141
2,59,0.96750
2,60,0.95737
2,61,0.95998
2,62,0.96298
2,63,0.96418
2,64,0.96889
2,65,0.97936
2,66,0.98881
2,67,1.00654
2,68,1.01674
2,69,0.99731
2,70,0.98305
2,71,0.99025
2,72,0.98411
2,73,0.98499
2,74,0.99179
2,75,0.98835
2,76,0.99178
2,77,0.98038
2,78,0.98305
2,79,0.98569
2,80,0.99769
2,81,0.99695
2,82,0.98397
2,83,0.99960
2,84,1.01143
2,85,1.02750
2,86,1.02913
2,87,1.02507
2,88,1.03368
2,89,1.04633
2,90,1.03959
2,91,1.03632
2,92,1.03484
2,93,1.01490
2,94,1.03397
2,95,1.02328
2,96,1.03459
2,97,1.01903
2,98,1.02457
2,99,1.04546
3,0,1.00000
3,0,0.99253
3,1,0.98341
3,2,0.97693
3,3,0.97839
3,4,0.97754
3,5,0.97757
3,6,0.96653
3,7,0.96316
3,8,0.96237
3,9,0.96741
3,10,0.96312
3,11,0.97333
3,12,0.96510
3,13,0.95476
3,14,0.96309
3,15,0.97108
3,16,0.97518
3,17,0.97246
3,18,0.98232
3,19,0.97755
3,20,0.99500
3,21,0.98724
3,22,0.99894
3,23,0.99980
3,24,0.99087
3,25,0.99721
3,26,0.99707
3,27,0.99983
3,28,1.00781
3,29,1.01886
3,30,1.01668
3,31,1.02493
3,32,1.04313
3,33,1.03749
3,34,1.04416
3,35,1.03847
3,36,1.03413
3,37,1.02283
3,38,1.01791
3,39,1.02166
3,40,1.01489
3,41,1.01095
3,42,1.01422
3,43,1.01619
3,44,1.01446
3,45,1.01489
3,46,1.00750
3,47,1.00547
3,48,0.98217
3,49,0.98257
3,50,0.96728
3,51,0.97489
3,52,0.98273
3,53,0.98136
3,54,0.97523
3,55,0.98385
3,56,0.99338
3,57,1.00228
3,58,1.01837
3,59,1.01598
3,60,1.03190
3,61,1.02548
3,62,1.01256
3,63,1.01912
3,64,1.00615
3,65,0.99800
3,66,0.99475
3,67,0.99653
3,68,1.00074
3,69,0.99377
3,70,0.99410
3,71,0.97842
3,72,0.96750
3,73,0.96792
3,74,0.95982
3,75,0.97604
3,76,0.97521
3,77,0.99360
3,78,1.00395
3,79,0.99849
3,80,0.99402
3,81,0.99384
3,82,0.99805
3,83,1.00452
3,84,1.00895
3,85,0.99117
3,86,0.98208
3,87,0.98576
3,88,0.98102
3,89,0.96573
3,90,0.97355
3,91,0.97600
3,92,0.98233
3,93,0.96673
3,94,0.95861
3,95,0.94651
3,96,0.95204
3,97,0.95182
3,98,0.95010
3,99,0.95728
4,0,1.00000
4,0,1.00037
4,1,1.01416
4,2,1.01279
4,3,1.01255
4,4,1.00885
4,5,0.99929
4,6,1.01168
4,7,0.99875
4,8,1.01210
4,9,1.01682
4,10,1.01672
4,11,1.03031
4,12,1.01427
4,13,0.99755
4,14,0.98339
4,15,0.97378
4,16,0.96548
4,17,0.95847
4,18,0.97033
4,19,0.96445
4,20,0.97856
4,21,0.96866
4,22,0.99636
4,23,1.00474
4,24,1.01221
4,25,1.02059
4,26,1.00801
4,27,1.01403
4,28,1.01418
4,29,1.00393
4,30,0.99512
4,31,0.99635
4,32,0.98979
4,33,1.00929
4,34,1.01697
4,35,1.00744
4,36,1.01086
4,37,1.01074
4,38,1.01861
4,39,1.01214
4,40,1.02328
4,41,1.01194
4,42,1.03214
4,43,1.03104
4,44,1.03650
4,45,1.03821
4,46,1.03509
4,47,1.04251
4,48,1.05376
4,49,1.05921
4,50,1.05484
4,51,1.05712
4,52,1.06015
4,53,1.05582
4,54,1.03974
4,55,1.03356
4,56,1.02446
4,57,1.03296
4,58,1.03875
4,59,1.03691
4,60,1.04841
4,61,1.03632
4,62,1.04730
4,63,1.04098
4,64,1.05415
4,65,1.03564
4,66,1.04163
4,67,1.05136
4,68,1.04421
4,69,1.03543
4,70,1.01884
4,71,1.03395
4,72,1.03510
4,73,1.03702
4,74,1.04093
4,75,1.03967
4,76,1.04939
4,77,1.05876
4,78,1.05670
4,79,1.05712
4,80,1.04443
4,81,1.03841
4,82,1.04655
4,83,1.04255
4,84,1.03956
4,85,1.03707
4,86,1.03863
4,87,1.02588
4,88,1.01696
4,89,1.02677
4,90,1.03162
4,91,1.01656
4,92,1.00065
4,93,0.99803
4,94,0.98037
4,95,0.97254
4,96,0.96608
4,97,0.95978
4,98,0.96542
4,99,0.96966
5,0,1.00000
5,0,1.00292
5,1,0.99795
5,2,1.01937
5,3,1.02257
5,4,1.02234
5,5,1.02166
5,6,1.02004
5,7,1.00774
5,8,0.99716
5,9,1.00551
5,10,1.01327
5,11,1.02149
5,12,1.03202
5,13,1.02245
5,14,1.04266
5,15,1.03104
5,16,1.03545
5,17,1.02814
5,18,1.02614
5,19,1.04262
5,20,1.05571
5,21,1.05597
5,22,1.04199
5,23,1.01570
5,24,1.00485
5,25,0.99946
5,26,1.00404
5,27,1.00748
5,28,0.99644
5,29,0.99304
5,30,0.99306
5,31,0.99353
5,32,0.99239
5,33,0.97461
5,34,0.97408
5,35,0.95871
5,36,0.95416
5,37,0.96143
5,38,0.96292
5,39,0.97283
5,40,0.97630
5,41,0.98181
5,42,0.98059
5,43,0.98092
5,44,0.98056
5,45,1.00202
5,46,0.99763
5,47,0.98679
5,48,0.98277
5,49,0.97450
5,50,0.96950
5,51,0.96414
5,52,0.95411
5,53,0.95318
5,54,0.95280
5,55,0.95553
5,56,0.96311
5,57,0.96604
5,58,0.95635
5,59,0.94650
