sim,period,price
0,0,1.00000
0,0,1.00596
0,1,0.99663
0,2,1.00272
0,3,0.99819
0,4,1.01124
0,5,1.02534
0,6,1.01973
0,7,1.01869
0,8,1.02570
0,9,1.02390
0,10,1.02065
0,11,1.01025
0,12,1.01892
0,13,1.01549
0,14,1.01221
0,15,1.01642
0,16,1.01184
0,17,1.00037
0,18,0.99258
0,19,1.00353
0,20,1.01975
0,21,1.02381
0,22,1.01638
0,23,1.03851
0,24,1.03269
0,25,1.04397
0,26,1.04872
0,27,1.04729
0,28,1.03007
0,29,1.01711
0,30,1.03041
0,31,1.02160
0,32,1.02253
0,33,1.02104
0,34,1.02519
0,35,1.00182
0,36,1.00970
0,37,1.01060
0,38,0.99282
0,39,0.98875
0,40,0.98568
0,41,0.98884
0,42,0.98045
0,43,0.98964
0,44,0.99051
0,45,1.01422
0,46,1.00466
0,47,1.01932
0,48,1.01584
0,49,1.00821
0,50,1.00259
0,51,1.01029
0,52,1.01049
0,53,1.00768
0,54,0.99922
0,55,1.01726
0,56,1.00377
0,57,1.01022
0,58,1.00720
0,59,1.01737
0,60,1.02678
0,61,1.03936
0,62,1.04269
0,63,1.05095
0,64,1.05049
0,65,1.04329
0,66,1.04403
0,67,1.04350
0,68,1.04750
0,69,1.04375
0,70,1.04673
0,71,1.05333
0,72,1.05895
0,73,1.06413
0,74,1.08520
0,75,1.08608
0,76,1.09445
0,77,1.09898
0,78,1.09887
0,79,1.11050
0,80,1.11697
0,81,1.12641
0,82,1.12482
0,83,1.12683
0,84,1.13869
0,85,1.13696
0,86,1.12822
0,87,1.12977
0,88,1.13625
0,89,1.13241
0,90,1.12363
0,91,1.10385
0,92,1.09710
0,93,1.10310
0,94,1.09264
0,95,1.08844
0,96,1.09102
0,97,1.07426
0,98,1.08036
0,99,1.07624
1,0,1.00000
1,0,0.99321
1,1,0.99250
1,2,0.99339
1,3,1.00143
1,4,1.00197
1,5,1.00806
1,6,1.00271
1,7,1.00090
1,8,0.98058
1,9,0.97298
1,10,0.95935
1,11,0.95191
1,12,0.94983
1,13,0.93975
1,14,0.93373
1,15,0.93770
1,16,0.94755
1,17,0.95269
1,18,0.95373
1,19,0.95046
1,20,0.95046
1,21,0.95671
1,22,0.94320
1,23,0.93045
1,24,0.92889
1,25,0.93341
1,26,0.95338
1,27,0.95623
1,28,0.95420
1,29,0.96083
1,30,0.95929
1,31,0.95113
1,32,0.94315
1,33,0.95881
1,34,0.95965
1,35,0.95354
1,36,0.95622
1,37,0.95903
1,38,0.96259
1,39,0.95496
1,40,0.96337
1,41,0.97394
1,42,0.98009
1,43,0.97432
1,44,0.97799
1,45,0.97075
1,46,0.97678
1,47,0.97382
1,48,0.98336
1,49,0.97572
1,50,0.97583
1,51,0.98049
1,52,1.00564
1,53,1.00034
1,54,0.98096
1,55,0.97686
1,56,0.96814
1,57,0.96546
1,58,0.96205
1,59,0.97212
1,60,0.97836
1,61,0.97598
1,62,0.96961
1,63,0.96704
1,64,0.96542
1,65,0.98510
1,66,0.99102
1,67,1.00304
1,68,1.00491
1,69,1.01566
1,70,1.00468
1,71,0.99577
1,72,0.99516
1,73,0.98179
1,74,0.97369
1,75,0.98076
1,76,0.97347
1,77,0.96553
1,78,0.96548
1,79,0.96964
1,80,0.96406
1,81,0.96547
