sim,period,price
0,0,1.00000
0,0,1.00583
0,1,1.01651
0,2,1.02355
0,3,1.02785
0,4,1.02097
0,5,1.00829
0,6,1.00052
0,7,1.00957
0,8,1.01801
0,9,1.02489
0,10,1.00999
0,11,1.00164
0,12,1.00184
0,13,1.01179
0,14,1.00933
0,15,1.00660
0,16,1.00682
0,17,1.00809
0,18,1.00204
0,19,0.99886
0,20,1.00269
0,21,0.99782
0,22,0.98882
0,23,0.99505
0,24,0.99146
0,25,0.98459
0,26,0.98225
0,27,0.99035
0,28,0.99237
0,29,0.97015
0,30,0.98814
0,31,0.98644
0,32,0.99811
0,33,1.01032
0,34,1.02107
0,35,1.02154
0,36,1.03133
0,37,1.03171
0,38,1.05660
0,39,1.06654
0,40,1.08232
0,41,1.09073
0,42,1.08607
0,43,1.08843
0,44,1.07646
0,45,1.09082
0,46,1.08778
0,47,1.09570
0,48,1.10913
0,49,1.35100
0,50,1.65223
0,51,1.95159
0,52,2.50219
0,53,3.06404
0,54,3.79872
0,55,4.77458
0,56,6.14649
0,57,7.56325
0,58,9.41337
0,59,11.90327
0,60,5.84779
0,61,3.74796
0,62,2.27430
0,63,1.50953
0,64,0.98674
0,65,1.04748
0,66,1.10510
0,67,1.10638
0,68,1.13868
0,69,1.18237
0,70,1.21022
0,71,1.25791
0,72,1.26222
0,73,1.32795
0,74,1.31388
0,75,1.40512
0,76,1.41720
0,77,1.44888
0,78,1.41532
0,79,1.37028
0,80,1.38406
0,81,1.43771
0,82,1.47109
0,83,1.47758
0,84,1.47491
0,85,1.51188
0,86,1.54196
0,87,1.68249
0,88,1.56788
0,89,1.52831
0,90,1.56273
0,91,1.56974
0,92,1.56492
0,93,1.56806
0,94,1.62135
0,95,1.62764
0,96,1.59981
0,97,1.56802
0,98,1.50511
0,99,1.63625
1,0,1.00000
1,0,1.00533
1,1,0.99610
1,2,0.99946
1,3,1.00134
1,4,0.99246
1,5,0.99447
1,6,0.99441
1,7,0.98197
1,8,1.00244
1,9,1.00360
1,10,1.00851
1,11,1.00151
1,12,1.00557
1,13,1.00836
1,14,1.00967
1,15,0.99470
1,16,0.99876
1,17,0.98734
1,18,1.00536
1,19,1.02000
1,20,1.01685
1,21,1.01094
1,22,1.02597
1,23,1.01904
1,24,0.99514
1,25,0.98095
1,26,0.98204
1,27,0.99342
1,28,0.97797
1,29,0.98662
1,30,0.98568
1,31,0.98496
1,32,0.97929
1,33,0.98225
1,34,0.97962
1,35,0.97252
1,36,0.96223
1,37,0.96972
1,38,0.98613
1,39,0.97416
1,40,0.97404
1,41,0.98169
1,42,0.97143
1,43,0.96883
1,44,0.95730
1,45,0.95785
1,46,0.96184
1,47,0.96039
1,48,0.95256
1,49,0.93970
1,50,0.93841
1,51,0.93934
1,52,0.92808
1,53,0.93059
1,54,0.91620
1,55,0.92151
1,56,0.92724
1,57,0.93179
1,58,0.93754
1,59,0.94648
1,60,0.93784
1,61,0.95729
1,62,0.95104
1,63,0.96016
1,64,0.96452
1,65,0.95212
1,66,0.93042
1,67,0.94835
1,68,0.95596
1,69,0.95479
1,70,0.95678
1,71,0.96424
1,72,0.96041
1,73,0.96714
1,74,0.97977
1,75,0.98611
1,76,0.98984
1,77,0.96914
1,78,0.95606
1,79,0.96191
1,80,0.95957
1,81,0.94835
1,82,0.94508
1,83,0.93720
1,84,0.95543
1,85,0.97261
1,86,0.97613
1,87,0.99181
1,88,0.99918
1,89,0.99919
1,90,1.00614
1,91,1.01198
1,92,1.02690
1,93,1.03191
1,94,1.03091
1,95,1.02999
1,96,1.03333
1,97,1.01676
1,98,1.01276
1,99,1.00797
2,0,1.00000
2,0,1.01285
2,1,1.02790
2,2,1.02102
2,3,1.01208
2,4,1.02210
2,5,1.02268
2,6,1.02517
2,7,1.01785
2,8,1.00715
2,9,1.01005
2,10,1.01112
2,11,1.01604
2,12,1.02520
2,13,1.02754
2,14,1.03826
2,15,1.03625
2,16,1.03138
2,17,1.02968
2,18,1.03706
2,19,1.04589
2,20,1.04034
2,21,1.02976
2,22,1.03219
2,23,1.02461
2,24,1.01377
2,25,1.00504
2,26,0.99949
2,27,0.98680
2,28,0.98401
2,29,0.99640
2,30,0.99583
2,31,0.99042
2,32,0.98152
2,33,0.97301
2,34,0.98034
2,35,0.97771
2,36,0.98084
2,37,0.96867
2,38,0.96913
2,39,0.95503
2,40,0.96780
2,41,0.96107
2,42,0.96488
2,43,0.96054
2,44,0.96815
2,45,0.95637
2,46,0.96332
2,47,0.96235
2,48,0.97649
2,49,0.96843
2,50,0.95846
2,51,0.96198
2,52,0.96073
2,53,0.95470
2,54,0.94554
2,55,0.96032
2,56,0.95962
2,57,0.95211
2,58,0.95380
2,59,0.94309
2,60,0.94540
2,61,0.93770
2,62,0.94148
2,63,0.93334
2,64,0.93349
2,65,0.94949
2,66,0.94251
2,67,0.94216
2,68,0.93997
2,69,0.94210
2,70,0.93470
2,71,0.93310
2,72,0.93599
2,73,0.92769
2,74,0.93514
2,75,0.94696
2,76,0.94227
2,77,0.92853
2,78,0.91569
2,79,0.92122
2,80,0.93934
2,81,0.95270
2,82,0.95714
2,83,0.95509
2,84,0.95174
2,85,0.93348
2,86,0.94094
2,87,0.94054
2,88,0.94382
2,89,0.94860
2,90,0.94670
2,91,0.93886
2,92,0.94691
2,93,0.95230
2,94,0.96534
2,95,0.97290
2,96,0.96265
2,97,0.96348
2,98,0.95216
2,99,0.94685
3,0,1.00000
3,0,1.00333
3,1,1.01181
3,2,1.00217
3,3,1.01285
3,4,1.01208
3,5,1.00338
3,6,0.98561
3,7,0.98497
3,8,0.98808
3,9,0.98952
3,10,0.99030
3,11,0.98697
3,12,0.99352
3,13,0.98678
3,14,0.98533
3,15,0.98610
3,16,0.99566
3,17,1.00461
3,18,1.00509
3,19,1.00731
3,20,1.00219
3,21,0.99461
3,22,0.99225
3,23,1.00706
3,24,1.01411
3,25,1.00829
3,26,1.01838
3,27,1.02448
3,28,1.02147
3,29,1.01298
3,30,1.01128
3,31,1.01320
3,32,0.98910
3,33,0.99409
3,34,1.00353
3,35,0.99621
3,36,0.98304
3,37,0.99679
3,38,0.99527
3,39,1.00069
3,40,1.00843
3,41,1.01844
3,42,1.01200
3,43,1.02859
3,44,1.02290
3,45,1.02040
3,46,1.00244
3,47,0.99436
3,48,0.99734
3,49,0.97042
3,50,0.98631
3,51,0.99209
3,52,1.00767
3,53,1.01649
3,54,1.01503
3,55,1.02950
3,56,1.03408
3,57,1.02908
3,58,1.02968
3,59,1.04501
3,60,1.03654
3,61,1.03631
3,62,1.03645
3,63,1.03754
3,64,1.03987
3,65,1.03938
3,66,1.03894
3,67,1.03412
3,68,1.04604
3,69,1.05077
3,70,1.05803
3,71,1.06858
3,72,1.07029
3,73,1.06993
3,74,1.07873
3,75,1.09505
3,76,1.10361
3,77,1.45739
3,78,1.67947
3,79,2.07649
3,80,2.60631
3,81,3.15605
3,82,4.06861
3,83,4.76394
3,84,5.90366
3,85,7.15322
3,86,8.76035
3,87,10.72086
3,88,5.17886
3,89,3.26614
3,90,2.71768
3,91,1.98250
3,92,1.21775
3,93,0.74887
3,94,0.78943
3,95,0.87297
3,96,0.91580
3,97,0.97664
3,98,1.05432
3,99,1.12459
4,0,1.00000
4,0,0.99815
4,1,0.98879
4,2,0.99926
4,3,0.99957
4,4,1.00065
4,5,0.99381
4,6,1.02192
4,7,1.00014
4,8,1.01108
4,9,1.01786
4,10,1.01632
4,11,1.01695
4,12,1.02239
4,13,1.03824
4,14,1.01990
4,15,1.02453
4,16,1.01846
4,17,1.01974
4,18,1.02601
4,19,1.02210
4,20,1.02026
4,21,1.00428
4,22,1.00584
4,23,1.00833
4,24,1.01321
4,25,1.00716
4,26,1.01387
4,27,1.02812
4,28,1.03771
4,29,1.03370
4,30,1.01603
4,31,1.02005
4,32,1.02544
4,33,1.02717
4,34,1.02683
4,35,1.01447
4,36,1.03176
4,37,1.02709
4,38,1.03367
4,39,1.03949
4,40,1.03608
4,41,1.04123
4,42,1.04290
4,43,1.04585
4,44,1.04864
4,45,1.06208
4,46,1.05498
4,47,1.05973
4,48,1.05403
4,49,1.04312
4,50,1.03934
4,51,1.04286
4,52,1.03881
4,53,1.01882
4,54,1.02111
4,55,1.01753
4,56,1.01190
4,57,1.01361
4,58,1.02091
4,59,1.02353
4,60,1.01342
4,61,1.00436
4,62,0.99452
4,63,0.98411
4,64,0.98599
4,65,0.99220
4,66,0.98539
4,67,0.98713
4,68,0.98854
4,69,0.98712
4,70,0.99321
4,71,0.99317
4,72,0.98941
4,73,0.99189
4,74,0.98809
4,75,0.98355
4,76,0.98661
4,77,0.96712
4,78,0.96365
4,79,0.97282
4,80,0.97605
4,81,0.98115
4,82,0.97985
4,83,0.99213
4,84,0.99525
4,85,1.00320
4,86,1.01503
4,87,0.99799
4,88,0.99616
4,89,0.98809
4,90,0.97892
4,91,0.97712
4,92,0.97186
4,93,0.97839
4,94,0.99454
4,95,1.01077
4,96,0.98961
4,97,0.99227
4,98,1.00380
4,99,1.02687
5,0,1.00000
5,0,0.98998
5,1,0.98766
5,2,1.00026
5,3,1.00728
5,4,1.01182
5,5,1.01426
5,6,1.02244
5,7,1.01690
5,8,1.02953
5,9,1.05773
5,10,1.05521
5,11,1.04776
5,12,1.06039
5,13,1.04805
5,14,1.04821
5,15,1.04509
5,16,1.02753
5,17,1.02215
5,18,1.02894
5,19,1.03142
