sim,period,price
0,0,1.00000
0,0,1.00895
0,1,0.99729
0,2,1.00485
0,3,0.99564
0,4,0.99725
0,5,1.00459
0,6,1.00499
0,7,0.99688
0,8,0.98664
0,9,0.98870
0,10,0.99417
0,11,0.99830
0,12,1.01188
0,13,1.00544
0,14,1.01088
0,15,1.01321
0,16,1.00996
0,17,1.01082
0,18,1.01959
0,19,1.02280
0,20,1.01415
0,21,1.02248
0,22,1.01667
0,23,1.01518
0,24,1.03245
0,25,1.00367
0,26,1.00779
0,27,1.01683
0,28,1.02611
0,29,1.01747
0,30,1.02365
0,31,1.02944
0,32,1.03435
0,33,1.03369
0,34,1.02346
0,35,1.01654
0,36,1.01092
0,37,1.00544
0,38,1.02776
0,39,1.03163
0,40,1.04871
0,41,1.03896
0,42,1.04314
0,43,1.04125
0,44,1.04021
0,45,1.05263
0,46,1.05841
0,47,1.05313
0,48,1.03548
0,49,1.04083
0,50,1.02354
0,51,1.02505
0,52,1.03583
0,53,1.04832
0,54,1.05020
0,55,1.04532
0,56,1.03539
0,57,1.02723
0,58,1.01240
0,59,1.00726
0,60,1.00662
0,61,1.00892
0,62,1.01878
0,63,1.02460
0,64,1.02243
0,65,1.02993
0,66,1.04189
0,67,1.05455
0,68,1.05438
0,69,1.04049
0,70,1.01898
0,71,1.01329
0,72,1.01107
0,73,0.99602
0,74,0.99361
0,75,0.99485
0,76,0.99174
0,77,0.99470
0,78,1.00258
0,79,1.00537
0,80,1.00213
0,81,1.01743
0,82,1.01925
0,83,1.03799
0,84,1.03316
0,85,0.99953
0,86,0.99450
0,87,1.01410
0,88,1.02370
0,89,1.01160
0,90,1.00271
0,91,1.00055
0,92,1.01697
0,93,1.04283
0,94,1.04362
0,95,1.06147
0,96,1.05895
0,97,1.05572
0,98,1.05292
0,99,1.05180
1,0,1.00000
1,0,0.99827
1,1,1.00167
1,2,1.01445
1,3,0.99899
1,4,0.99115
1,5,0.98206
1,6,0.97158
1,7,0.96211
1,8,0.96758
1,9,0.96914
1,10,0.95661
1,11,0.96378
1,12,0.96875
1,13,0.97455
1,14,0.96791
1,15,0.96422
1,16,0.95832
1,17,0.97590
1,18,0.97578
1,19,0.96384
1,20,0.96438
1,21,0.96138
1,22,0.96777
1,23,0.96428
1,24,0.96943
1,25,0.96371
1,26,0.96653
1,27,0.97292
1,28,0.95737
1,29,0.96426
1,30,0.96012
1,31,0.95187
1,32,0.95529
1,33,0.94920
1,34,0.93137
1,35,0.91777
1,36,0.93155
1,37,0.92871
1,38,0.93000
1,39,0.93761
1,40,0.95187
1,41,0.95199
1,42,0.95904
1,43,0.97351
1,44,0.99138
1,45,0.97847
1,46,0.99289
1,47,0.99830
1,48,1.00733
1,49,1.01964
1,50,1.03129
1,51,1.03093
1,52,1.02248
1,53,1.03358
1,54,1.02373
1,55,1.02002
1,56,1.02061
1,57,1.00959
1,58,1.00965
1,59,1.00910
1,60,0.99619
1,61,1.01493
1,62,1.02295
1,63,1.01784
1,64,1.01229
1,65,0.99822
1,66,1.00541
1,67,1.01370
1,68,1.01563
1,69,1.00641
1,70,1.01581
1,71,1.01528
1,72,1.00430
1,73,1.00781
1,74,1.00446
1,75,1.00568
1,76,0.99169
1,77,0.99356
1,78,0.98807
1,79,0.99519
1,80,0.99708
1,81,1.01505
1,82,1.00212
1,83,1.01502
1,84,1.00625
1,85,0.98947
1,86,0.99496
1,87,0.98718
1,88,0.99241
1,89,0.98165
1,90,0.98554
1,91,0.98771
1,92,0.98616
1,93,0.99575
1,94,0.99349
1,95,0.99352
1,96,0.99488
1,97,0.98231
1,98,0.97461
1,99,0.97326
2,0,1.00000
2,0,1.01560
2,1,1.02780
2,2,1.02256
2,3,1.02223
2,4,1.01366
2,5,1.01448
2,6,1.01609
2,7,0.99689
2,8,0.98407
2,9,0.97366
2,10,0.98216
2,11,0.98777
2,12,0.99986
2,13,1.00667
2,14,1.00422
2,15,1.00591
2,16,1.00760
2,17,0.99481
2,18,1.00657
2,19,0.99662
2,20,0.99843
2,21,1.00288
2,22,1.01366
2,23,1.03233
2,24,1.04439
2,25,1.04247
2,26,1.04389
2,27,1.05715
2,28,1.05428
2,29,1.05305
2,30,1.06295
2,31,1.07743
2,32,1.07487
2,33,1.08795
2,34,1.08430
2,35,1.06947
2,36,1.07151
2,37,1.07394
2,38,1.07802
2,39,1.07572
2,40,1.07073
2,41,1.07453
2,42,1.07330
2,43,1.06926
2,44,1.06436
2,45,1.06014
2,46,1.05452
2,47,1.05866
2,48,1.05708
2,49,1.05034
2,50,1.06169
2,51,1.06134
2,52,1.07136
2,53,1.06029
2,54,1.03392
2,55,1.04023
2,56,1.03779
2,57,1.02946
2,58,1.03262
2,59,1.03591
2,60,1.03932
2,61,1.04220
2,62,1.03115
2,63,1.01717
2,64,1.02166
2,65,1.00533
2,66,0.98488
2,67,0.97417
2,68,0.97773
2,69,0.97809
2,70,0.97411
2,71,0.96934
2,72,0.96914
2,73,0.95858
2,74,0.95864
2,75,0.95801
2,76,0.97262
2,77,0.97421
2,78,0.99854
2,79,1.00079
2,80,1.00904
2,81,1.00665
2,82,1.00186
2,83,1.01515
2,84,1.03276
2,85,1.02137
2,86,1.02803
2,87,1.02202
2,88,1.03624
2,89,1.03693
2,90,1.03380
2,91,1.03622
2,92,1.03343
2,93,1.02586
2,94,1.03106
2,95,1.02730
2,96,1.02256
2,97,1.01155
2,98,1.02884
2,99,1.01573
3,0,1.00000
3,0,1.01128
3,1,1.01753
3,2,1.01110
3,3,1.01154
3,4,1.01501
3,5,1.01674
3,6,1.02913
3,7,1.02475
3,8,1.03237
3,9,1.02647
3,10,1.02484
3,11,1.03024
3,12,1.03657
3,13,1.05316
3,14,1.05331
3,15,1.04596
3,16,1.04552
3,17,1.04370
3,18,1.04439
3,19,1.02897
3,20,1.04459
3,21,1.04147
3,22,1.04946
3,23,1.03965
3,24,1.02991
3,25,1.02556
3,26,1.04544
3,27,1.03884
3,28,1.04841
3,29,1.05837
3,30,1.07088
3,31,1.06015
3,32,1.06015
3,33,1.05157
3,34,1.04820
3,35,1.03569
3,36,1.03052
3,37,1.03304
3,38,1.03176
3,39,1.01326
3,40,1.01343
3,41,1.01146
3,42,1.01426
3,43,1.01940
3,44,0.99848
3,45,0.97825
3,46,0.97667
3,47,0.97761
3,48,0.98150
3,49,0.97242
3,50,0.97603
3,51,0.96727
3,52,0.95651
3,53,0.96955
3,54,0.96507
3,55,0.97447
3,56,0.96447
3,57,0.96639
3,58,0.96466
3,59,0.96847
3,60,0.96432
3,61,0.96189
3,62,0.97023
3,63,0.98409
3,64,0.99772
3,65,1.00444
3,66,0.99711
3,67,0.99805
3,68,1.00330
3,69,1.00837
3,70,0.99799
3,71,0.98542
3,72,0.96343
3,73,0.96690
3,74,0.96098
3,75,0.96335
3,76,0.95442
3,77,0.95855
3,78,0.95092
3,79,0.94627
3,80,0.94307
3,81,0.93935
3,82,0.94571
3,83,0.95396
3,84,0.95272
3,85,0.94863
3,86,0.96078
3,87,0.96387
3,88,0.96767
3,89,0.96212
3,90,0.95466
3,91,0.96487
3,92,0.96051
3,93,0.94212
3,94,0.95022
3,95,0.94639
3,96,0.95823
3,97,0.95107
3,98,0.93694
3,99,0.94722
4,0,1.00000
4,0,0.98221
4,1,0.99428
4,2,0.98994
4,3,0.99731
4,4,0.98549
4,5,0.99052
4,6,0.99793
4,7,0.98430
4,8,0.99452
4,9,1.00438
4,10,0.99606
4,11,0.99723
4,12,1.00158
4,13,0.99812
4,14,1.00703
4,15,1.00764
4,16,1.01539
4,17,1.02701
4,18,1.03130
4,19,1.03209
4,20,1.03119
4,21,1.02233
4,22,1.03497
4,23,1.03906
4,24,1.03434
4,25,1.05529
4,26,1.04714
4,27,1.04998
4,28,1.05139
4,29,1.06617
4,30,1.04659
4,31,1.03663
4,32,1.03482
4,33,1.02885
4,34,1.03397
4,35,1.02544
4,36,1.02540
4,37,1.02406
4,38,1.03925
4,39,1.03648
4,40,1.03924
4,41,1.03996
4,42,1.02973
4,43,1.04029
4,44,1.03279
4,45,1.01206
4,46,1.00032
4,47,1.01433
4,48,1.01819
4,49,1.01360
4,50,0.99731
4,51,1.02096
4,52,1.01035
4,53,1.01131
4,54,1.01827
4,55,1.01556
4,56,1.01203
4,57,1.01071
4,58,1.00203
4,59,0.99636
4,60,0.98694
4,61,0.97002
4,62,0.97568
4,63,0.98146
4,64,0.98832
4,65,0.99438
4,66,0.99698
4,67,1.00217
4,68,0.99932
4,69,0.99537
4,70,0.99724
4,71,0.98712
4,72,0.98150
4,73,0.98357
4,74,0.98231
