spot,EuroCall,AmerCall,EuroPut,AmerPut
50,0.000710735,6.65864e-07,42.7751,50.3314
51,0.00111416,0.000212,41.7755,49.278
52,0.00171258,0.000227657,40.7761,47.9723
53,0.00258377,0.000153125,39.7769,47.3679
54,0.00382974,0.000821238,38.7782,45.9924
55,0.00558183,0.000762213,37.7799,45.0166
56,0.0080064,0.000308994,36.7824,44.2899
57,0.0113107,0.00193444,35.7857,43.2062
58,0.0157488,0.00111756,34.7901,42.3475
59,0.0216279,0.0040499,33.796,41.0604
60,0.0293136,0.00227938,32.8037,40.6549
61,0.0392356,0.0068692,31.8136,39.0568
62,0.0518917,0.0030331,30.8262,38.1897
63,0.0678514,0.0102111,29.8422,37.3078
64,0.0877583,0.00175416,28.8621,35.9572
65,0.112331,0.0115681,27.8867,35.1188
66,0.142361,0.0245315,26.9167,34.2613
67,0.178714,0.00718058,25.9531,33.3618
68,0.222321,0.0231411,24.9967,32.7462
69,0.274175,0.0435241,24.0485,31.0765
70,0.335327,0.00693054,23.1097,29.9824
71,0.406869,0.029433,22.1812,29.0162
72,0.489933,0.0571226,21.2643,28.1703
73,0.585674,0.0888228,20.36,27.3024
74,0.695257,0.00907454,19.4696,26.2095
75,0.81985,0.0404881,18.5942,25.1472
76,0.960607,0.0761123,17.735,24.2669
77,1.11865,0.117563,16.893,23.1296
78,1.29508,0.162461,16.0694,22.1114
79,1.49092,0.213918,15.2653,21.1074
80,1.70716,0.0117302,14.4815,20.3622
81,1.94468,0.0472799,13.719,19.2589
82,2.20432,0.0852587,12.9787,18.6198
83,2.4868,0.12405,12.2612,16.9631
84,2.79276,0.164401,11.5671,16.2151
85,3.12272,0.203624,10.8971,15.0628
86,3.47712,0.242939,10.2515,14.3966
87,3.85627,0.278942,9.63061,13.2919
88,4.26038,0.313008,9.03473,12.2619
89,4.68958,0.341404,8.46392,11.4475
90,5.14384,0.365369,7.91819,10.4911
91,5.62309,0.381218,7.39744,9.63018
92,6.12713,0.389821,6.90148,8.961
93,6.65567,0.387861,6.43002,8.20996
94,7.20834,0.375705,5.98269,7.56683
95,7.7847,0.350623,5.55905,6.97211
96,8.38423,0.312459,5.15858,6.4245
97,9.00634,0.259166,4.78069,5.91434
98,9.65041,0.190161,4.42476,5.41953
99,10.3158,0.10404,4.0901,4.98684
100,11.0016,1.03458,3.77598,4.55253
101,11.7073,0.960213,3.48165,4.17548
102,12.432,0.865697,3.20632,3.83546
103,13.1748,1.85428,2.94919,3.50742
104,13.9351,2.84287,2.70946,3.20806
105,14.7119,3.83145,2.48629,2.92995
106,15.5045,4.82004,2.27887,2.68354
107,16.312,5.80862,2.08638,2.42972
108,17.1337,6.79721,1.90802,2.22221
109,17.9686,7.78579,1.74299,2.01618
110,18.8162,8.77438,1.59052,1.84472
111,19.6755,9.76296,1.44986,1.67528
112,20.5459,10.7515,1.32026,1.52197
113,21.4267,11.7401,1.20102,1.37671
114,22.3171,12.7287,1.09145,1.24487
115,23.2166,13.7173,0.990911,1.13414
116,24.1244,14.7059,0.898765,1.02606
117,25.0401,15.6945,0.814419,0.923267
118,25.963,16.6831,0.737307,0.840451
119,26.8925,17.6716,0.666892,0.75545
120,27.8283,18.6602,0.602667,0.684872
121,28.7698,19.6488,0.544154,0.61696
122,29.7166,20.6374,0.490904,0.553407
123,30.6681,21.626,0.442497,0.501819
124,31.6242,22.6146,0.398538,0.451145
125,32.5843,23.6032,0.35866,0.402435
126,33.5482,24.5917,0.322521,0.36452
127,34.5155,25.5803,0.289801,0.32713
128,35.4859,26.5689,0.260207,0.291785
129,36.4591,27.5575,0.233465,0.263775
130,37.435,28.5461,0.209322,0.236592
131,38.4132,29.5347,0.187545,0.210636
132,39.3936,30.5233,0.167919,0.189725
133,40.3759,31.5118,0.150246,0.169739
134,41.36,32.5004,0.134347,0.15063
135,42.3457,33.489,0.120053,0.135699
136,43.3329,34.4776,0.107214,0.121125
137,44.3213,35.4662,0.0956895,0.10736
138,45.311,36.4548,0.0853536,0.0965501
139,46.3017,37.4434,0.0760901,0.0858539
140,47.2934,38.4319,0.0677938,0.0758958
141,48.286,39.4205,0.0603688,0.0682176
142,49.2794,40.4091,0.0537281,0.0607097
143,50.2734,41.3977,0.0477929,0.0533422
144,51.2681,42.3863,0.0424917,0.0480155
145,52.2634,43.3749,0.0377596,0.042815
146,53.2592,44.3635,0.0335382,0.0375931
147,54.2554,45.352,0.0297746,0.0336457
148,55.2521,46.3406,0.0264212,0.0299884
149,56.2491,47.3292,0.0234348,0.0264578
150,57.2464,48.3178,0.0207769,0.0233776
